C3,CZ,C4
-2.8208735,-4.5276575,-7.2727747
-2.874128,-4.613134,-7.4100757
-2.9272692,-4.698428,-7.5470834
-2.9802904,-4.7835298,-7.683782
-3.0331872,-4.868432,-7.82016
-3.0859594,-4.953134,-7.956217
-3.1386108,-5.0376425,-8.091963
-3.1911483,-5.121968,-8.227415
-3.243579,-5.206122,-8.362592
-3.2959082,-5.290114,-8.497508
-3.3481376,-5.373945,-8.632166
-3.4002638,-5.4576106,-8.766558
-3.4522798,-5.541099,-8.900665
-3.5041785,-5.624399,-9.034471
-3.5559537,-5.707501,-9.167956
-3.607604,-5.7904024,-9.301121
-3.6591327,-5.873109,-9.433971
-3.7105465,-5.955631,-9.566526
-3.7618535,-6.0379815,-9.698807
-3.8130598,-6.120171,-9.830828
-3.8641684,-6.202203,-9.962596
-3.915176,-6.284073,-10.094105
-3.9660764,-6.365771,-10.225336
-4.0168614,-6.4472837,-10.35627
-4.067525,-6.528601,-10.48689
-4.1180644,-6.6097198,-10.617189
-4.1684823,-6.690643,-10.747177
-4.2187853,-6.7713823,-10.876867
-4.2689815,-6.8519497,-11.006284
-4.3190775,-6.9323564,-11.135441
-4.369076,-7.012607,-11.264348
-4.4189754,-7.0926986,-11.392999
-4.46877,-7.1726217,-11.521379
-4.5184507,-7.2523627,-11.6494665
-4.5680127,-7.3319116,-11.777246
-4.6174517,-7.4112644,-11.90471
-4.666771,-7.490423,-12.031863
-4.715975,-7.569399,-12.158722
-4.7650723,-7.648203,-12.285304
-4.8140693,-7.7268467,-12.41163
-4.86297,-7.8053346,-12.537704
-4.911772,-7.8836646,-12.663527
-4.96047,-7.961828,-12.789081
-5.0090575,-8.039813,-12.914348
-5.057528,-8.117611,-13.039313
-5.105878,-8.195214,-13.163968
-5.1541085,-8.272628,-13.288318
-5.2022257,-8.349859,-13.412373
-5.2502365,-8.426918,-13.536155
-5.2981467,-8.503817,-13.6596775
-5.34596,-8.580561,-13.782949
-5.3936753,-8.657146,-13.905971
-5.4412885,-8.733567,-14.028726
-5.4887924,-8.8098135,-14.151199
-5.536181,-8.885876,-14.273377
-5.583452,-8.961748,-14.39525
-5.630606,-9.037434,-14.516824
-5.677648,-9.112937,-14.638106
-5.7245836,-9.1882715,-14.759115
-5.7714186,-9.263444,-14.879866
-5.8181562,-9.338462,-15.000365
-5.8647957,-9.413321,-15.120612
-5.9113336,-9.488016,-15.240596
-5.9577646,-9.56254,-15.360303
-6.0040827,-9.636884,-15.479721
-6.050286,-9.711042,-15.598841
-6.0963745,-9.785016,-15.717666
-6.142351,-9.858811,-15.836205
-6.188223,-9.932438,-15.954471
-6.233994,-10.005903,-16.072477
-6.279667,-10.079212,-16.190231
-6.325242,-10.152362,-16.307734
-6.370716,-10.22535,-16.424974
-6.4160843,-10.298169,-16.541943
-6.4613423,-10.3708105,-16.658627
-6.5064883,-10.443273,-16.77502
-6.551522,-10.5155525,-16.891127
-6.596445,-10.587658,-17.006948
-6.641264,-10.659595,-17.1225
-6.685982,-10.731369,-17.237793
-6.7306013,-10.802986,-17.35283
-6.7751236,-10.874446,-17.467617
-6.8195443,-10.9457445,-17.582144
-6.863861,-11.016875,-17.696402
-6.90807,-11.087832,-17.810379
-6.952169,-11.158614,-17.924076
-6.996158,-11.2292185,-18.037487
-7.040039,-11.29965,-18.150621
-7.083816,-11.369914,-18.263487
-7.127492,-11.440018,-18.376093
-7.171069,-11.509962,-18.488443
-7.2145486,-11.579748,-18.600542
-7.2579274,-11.649374,-18.712383
-7.3012037,-11.718835,-18.823957
-7.344374,-11.788126,-18.93526
-7.3874373,-11.857244,-19.046284
-7.4303923,-11.926188,-19.15703
-7.4732413,-11.994964,-19.267504
-7.515987,-12.063573,-19.37771
-7.558632,-12.132021,-19.487658
-7.601178,-12.20031,-19.59735
-7.643626,-12.268441,-19.706789
-7.6859746,-12.336413,-19.815971
-7.7282214,-12.404221,-19.924892
-7.7703643,-12.471863,-20.033546
-7.8124013,-12.539335,-20.141926
-7.854334,-12.606638,-20.250034
-7.896161,-12.673774,-20.357874
-7.9378858,-12.740745,-20.46545
-7.979511,-12.807554,-20.572767
-8.021036,-12.874206,-20.67983
-8.062465,-12.9407,-20.786638
-8.103793,-13.007035,-20.893192
-8.145021,-13.073208,-20.999487
-8.186148,-13.139217,-21.105518
-8.227171,-13.205062,-21.211283
-8.268089,-13.27074,-21.31678
-8.308906,-13.336252,-21.422014
-8.349621,-13.401603,-21.526985
-8.390236,-13.466792,-21.6317
-8.430753,-13.531823,-21.736158
-8.471172,-13.596698,-21.840366
-8.511492,-13.661413,-21.944319
-8.551712,-13.725969,-22.048016
-8.591833,-13.790365,-22.151455
-8.631852,-13.854597,-22.254631
-8.671769,-13.918667,-22.357546
-8.711584,-13.9825735,-22.4602
-8.751301,-14.046319,-22.562593
-8.790916,-14.109905,-22.664732
-8.830434,-14.173334,-22.766617
-8.869855,-14.236607,-22.868252
-8.909178,-14.299721,-22.969633
-8.948401,-14.362678,-23.070763
-8.987527,-14.425476,-23.171633
-9.026552,-14.488114,-23.27225
-9.065477,-14.550591,-23.372606
-9.104303,-14.612909,-23.472706
-9.14303,-14.675068,-23.572552
-9.181659,-14.737068,-23.672142
-9.220189,-14.798912,-23.771482
-9.258622,-14.860599,-23.870571
-9.296957,-14.922131,-23.969408
-9.3351965,-14.983505,-24.067995
-9.373338,-15.0447235,-24.16633
-9.41138,-15.105784,-24.264412
-9.449326,-15.166688,-24.362242
-9.48717,-15.227433,-24.459816
-9.5249195,-15.28802,-24.557138
-9.56257,-15.348452,-24.65421
-9.600123,-15.408727,-24.751028
-9.637579,-15.468847,-24.847599
-9.67494,-15.528812,-24.943922
-9.712204,-15.588623,-25.039995
-9.749372,-15.648278,-25.13582
-9.786443,-15.707779,-25.231396
-9.823416,-15.767125,-25.326723
-9.860293,-15.826314,-25.421799
-9.897074,-15.885348,-25.516624
-9.933757,-15.944227,-25.611204
-9.970344,-16.002953,-25.705532
-10.006835,-16.061522,-25.799612
-10.04323,-16.119938,-25.893446
-10.079531,-16.178202,-25.987038
-10.115735,-16.236313,-26.08038
-10.151845,-16.29427,-26.173475
-10.187859,-16.352076,-26.266329
-10.223778,-16.409725,-26.358932
-10.2596,-16.467222,-26.45129
-10.295326,-16.524567,-26.5434
-10.330957,-16.581757,-26.635265
-10.366494,-16.638794,-26.726885
-10.401936,-16.69568,-26.81826
-10.437283,-16.752413,-26.909391
-10.472535,-16.808996,-27.000278
-10.507694,-16.865429,-27.090925
-10.542758,-16.921707,-27.18133
-10.577728,-16.977839,-27.271488
-10.612603,-17.033813,-27.361404
-10.647385,-17.08964,-27.451077
-10.68207,-17.145313,-27.540504
-10.716662,-17.200834,-27.629688
-10.751161,-17.256207,-27.718632
-10.785565,-17.311426,-27.807335
-10.819877,-17.366499,-27.895796
-10.854095,-17.421421,-27.984016
-10.888221,-17.476194,-28.072
-10.922253,-17.530819,-28.159742
-10.956191,-17.585293,-28.247242
